hero,60656
paladin,35543
darkknight,50687
arkmagefp,21445
arkmagetc,93258
bishop,48480
bowmaster,9012
pathfinder,125040
nightlord,57734
shadower,58561
dualblader,128111
captain,9103
viper,51415
cannonmaster,31247
mihile,5458
soulmaster,75154
striker,19459
windbreaker,37260
flamewizard,17621
nightwalker,17229
blaster,10812
demonavenger,59488
demonslayer,24706
mechanic,6320
wildhunter,7508
battlemage,9229
xenon,17382
adele,186348
ark,67652
illium,6527
kaiser,27463
cadena,26100
angelicbuster,46586
zero,23385
kinesis,33602
hoyoung,32303
